Date,Name,Type,Time,Distance,Comments
"10 Jun 2023, 00:13:04",Afternoon Ride,Ride,2084,12.62,Rain
"10 Jun 2023, 13:52:18",Morning Ride,Ride,2531,13.03,rain
"11 Jun 2023, 00:23:50",Afternoon Ride,Ride,1863,12.52,Wet road but nice weather
"11 Jun 2023, 14:06:19",Morning Ride,Ride,2192,12.84,Stopped for photo of sunrise
"12 Jun 2023, 00:28:05",Afternoon Ride,Ride,1891,12.48,Tired by the end of the week
"16 Jun 2023, 13:57:48",Morning Ride,Ride,2272,12.45,Rested after the weekend!
"17 Jun 2023, 00:15:47",Afternoon Ride,Ride,1973,12.45,Legs feeling strong!
"17 Jun 2023, 13:43:34",Morning Ride,Ride,2285,12.6,Raining
"18 Jun 2023, 13:49:53",Morning Ride,Ride,2903,14.57,Raining today
"18 Jun 2023, 00:15:52",Afternoon Ride,Ride,2101,12.48,Pumped up tires
"19 Jun 2023, 00:30:01",Afternoon Ride,Ride,48062,12.48,Feeling good
"19 Jun 2023, 13:52:09",Morning Ride,Ride,2090,12.59,Getting colder which is nice
"20 Jun 2023, 01:02:05",Afternoon Ride,Ride,2961,12.81,Feeling good
"23 Jun 2023, 13:50:41",Morning Ride,Ride,2462,12.68,Rested after the weekend!
"24 Jun 2023, 00:35:42",Afternoon Ride,Ride,2076,12.47,"Oiled chain, bike feels smooth"
"24 Jun 2023, 13:41:24",Morning Ride,Ride,2321,12.68,Bike feeling much smoother
"25 Jun 2023, 00:07:21",Afternoon Ride,Ride,1775,12.1,Feeling really tired
"25 Jun 2023, 13:35:41",Morning Ride,Ride,2124,12.65,Stopped for photo of sunrise
"26 Jun 2023, 00:13:33",Afternoon Ride,Ride,1860,12.52,raining
"26 Jun 2023, 13:42:43",Morning Ride,Ride,2350,12.91,Detour around trucks at Jericho
"27 Jun 2023, 01:00:18",Afternoon Ride,Ride,1712,12.47,Tired by the end of the week
"30 Jun 2023, 13:53:52",Morning Ride,Ride,2118,12.71,Rested after the weekend!
"1 Jul 2023, 00:15:07",Afternoon Ride,Ride,1732,NaN,Legs feeling strong!
"1 Jul 2023, 13:45:55",Morning Ride,Ride,2222,12.82,Beautiful morning! Feeling fit
"2 Jul 2023, 00:13:09",Afternoon Ride,Ride,1756,NaN,A little tired today but good weather
"2 Jul 2023, 13:46:06",Morning Ride,Ride,2134,13.06,Bit tired today but good weather
"3 Jul 2023, 00:45:22",Afternoon Ride,Ride,1724,12.52,Feeling good
"3 Jul 2023, 13:47:36",Morning Ride,Ride,2182,12.68,Wet road
"4 Jul 2023, 01:08:08",Afternoon Ride,Ride,1870,12.63,"Very tired, riding into the wind"
"9 Jul 2023, 13:55:40",Morning Ride,Ride,2149,12.7,Really cold! But feeling good
"10 Jul 2023, 00:10:31",Afternoon Ride,Ride,1841,12.59,Feeling good after a holiday break!
"10 Jul 2023, 13:47:14",Morning Ride,Ride,2463,12.79,Stopped for photo of sunrise
"11 Jul 2023, 00:16:57",Afternoon Ride,Ride,1843,11.79,"Bike feeling tight, needs an oil and pump"
